Word	Tag	Length	Sentence#
@	O	1	0
Rhy_QD10	O	8	0
yeah	O	4	0
irking	O	6	0
he	O	2	0
need	O	4	0
his	O	3	0
ass	O	3	0
whoop	O	5	0
I	O	1	0
really	B-	6	0
,	O	1	0
do	O	2	0
n't	O	3	0
feel	O	4	0
good	O	4	0
I	O	1	0
swear	O	5	0
I	O	1	0
'm	O	2	0
about	O	5	0
to	O	2	0
go	O	2	0
to	O	2	0
the	O	3	0
hospital	O	8	0
@	O	1	1
HGmoms	O	6	1
spoke	O	5	1
with	O	4	1
my	O	2	1
nurse	O	5	1
this	O	4	1
morning	O	7	1
!	O	1	1
We	O	2	1
adjusted	O	8	1
the	O	3	1
rate	O	4	1
on	O	2	1
my	O	2	1
zofran	B-	6	1
pump	O	4	1
.	O	1	1
:	O	1	1
)	O	1	1
@	O	1	2
Fragula	O	7	2
I	O	1	2
'm	O	2	2
not	O	3	2
allowe	O	6	2
to	O	2	2
take	O	4	2
laxatives	B-	9	2
so	O	2	2
I	O	1	2
take	O	4	2
fiber	O	5	2
gummies	O	7	2
,	O	1	2
which	O	5	2
are	O	3	2
sexy	O	4	2
and	O	3	2
exotic	O	6	2
because	O	7	2
here	O	4	2
they	O	4	2
're	O	3	2
fibre	O	5	2
gummies	O	7	2
.	O	1	2
Oh	O	2	2
la	O	2	2
la	O	2	2
!	O	1	2
@	O	1	3
Fragula	O	7	3
I	O	1	3
'm	O	2	3
not	O	3	3
allowe	O	6	3
to	O	2	3
take	O	4	3
laxatives	O	9	3
so	O	2	3
I	O	1	3
take	O	4	3
fiber	B-	5	3
gummies	I-	7	3
,	O	1	3
which	O	5	3
are	O	3	3
sexy	O	4	3
and	O	3	3
exotic	O	6	3
because	O	7	3
here	O	4	3
they	O	4	3
're	O	3	3
fibre	O	5	3
gummies	O	7	3
.	O	1	3
Oh	O	2	3
la	O	2	3
la	O	2	3
!	O	1	3
@	O	1	4
TakinHearts_	O	12	4
😂😂😂	O	3	4
I	O	1	4
hope	O	4	4
that	O	4	4
do	O	2	4
n't	O	3	4
happen	O	6	4
to	O	2	4
me	O	2	4
I	O	1	4
'm	O	2	4
running	O	7	4
until	O	5	4
I	O	1	4
get	O	3	4
back	O	4	4
on	O	2	4
birth	B-	5	4
control	I-	7	4
Tums	B-	4	5
are	O	3	5
triflin	O	7	5
Bouta	O	5	6
take	O	4	6
some	O	4	6
night	B-	5	6
quil	I-	4	6
🤘🏽	O	2	6
@	O	1	7
RaynaJaye	O	9	7
@	O	1	7
jennabennabear	O	14	7
sudafed	B-	7	7
when	O	4	8
you	O	3	8
get	O	3	8
given	O	5	8
the	O	3	8
worst	O	5	8
cough	O	5	8
in	O	2	8
the	O	3	8
universe	O	8	8
and	O	3	8
all	O	3	8
you	O	3	8
can	O	3	8
take	O	4	8
is	O	2	8
honey	O	5	8
and	O	3	8
lemon	O	5	8
with	O	4	8
a	O	1	8
side	O	4	8
of	O	2	8
paracetamol	B-	11	8
😑	O	1	8
Should	O	6	9
have	O	4	9
taken	O	5	9
Benadryl	B-	8	9
..	O	2	9
I	O	1	9
need	O	4	9
sleep	O	5	9
!	O	1	9
I	O	1	10
woke	O	4	10
up	O	2	10
with	O	4	10
the	O	3	10
sorest	O	6	10
throat	O	6	10
and	O	3	10
stiffest	O	8	10
neck	O	4	10
today	O	5	10
.	O	1	10
It	O	2	10
actually	O	8	10
feels	O	5	10
worse	O	5	10
now	O	3	10
.	O	1	10
Blah	O	4	10
.	O	1	10
#	O	1	10
Advil	B-	5	10
#	O	1	10
bed	O	3	10
#	O	1	10
ihateviruses	O	12	10
I	O	1	11
'm	O	2	11
really	O	6	11
chilling	O	8	11
out	O	3	11
on	O	2	11
taking	O	6	11
these	O	5	11
damn	O	4	11
Benadryls	B-	9	11
at	O	2	11
night	O	5	11
,	O	1	11
they	O	4	11
're	O	3	11
becoming	O	8	11
addictive	O	9	11
.	O	1	11
Then	O	4	12
got	O	3	12
an	O	2	12
epidural	B-	8	12
🙋‍♀️👐	O	5	12
@	O	1	13
pugzznotdrugz	O	13	13
i	O	1	13
hated	O	5	13
depo	B-	4	13
,	O	1	13
so	O	2	13
i	O	1	13
switched	O	8	13
as	O	2	13
soon	O	4	13
as	O	2	13
i	O	1	13
could	O	5	13
.	O	1	13
And	O	3	13
yeah	O	4	13
!	O	1	13
it	O	2	13
works	O	5	13
for	O	3	13
up	O	2	13
to	O	2	13
3	O	1	13
years	O	5	13
and	O	3	13
you	O	3	13
do	O	2	13
n't	O	3	13
even	O	4	13
notice	O	6	13
it	O	2	13
.	O	1	13
I	O	1	13
've	O	3	13
heard	O	5	13
@	O	1	14
slouisebuck	O	11	14
sorry	O	5	14
you	O	3	14
're	O	3	14
suffering	O	9	14
.	O	1	14
😔	O	1	14
I	O	1	14
lost	O	4	14
35	O	2	14
pounds	O	6	14
in	O	2	14
January	O	7	14
due	O	3	14
to	O	2	14
HG	O	2	14
.	O	1	14
Now	O	3	14
,	O	1	14
I	O	1	14
'm	O	2	14
22	O	2	14
weeks	O	5	14
&	O	1	14
amp	O	3	14
;	O	1	14
doing	O	5	14
well	O	4	14
with	O	4	14
a	O	1	14
zofran	B-	6	14
pump	O	4	14
.	O	1	14
I	O	1	14
hope	O	4	14
your	O	4	14
Broke	O	5	15
my	O	2	15
water	O	5	15
and	O	3	15
started	O	7	15
pitocin	B-	7	15
😁	O	1	15
Okay	O	4	16
,	O	1	16
Soooo	O	5	16
.	O	1	16
.	O	1	16
.	O	1	16
I	O	1	16
have	O	4	16
a	O	1	16
real-life	O	9	16
friend	O	6	16
who	O	3	16
has	O	3	16
started	O	7	16
injections	B-	10	16
for	I-	3	16
IVF	I-	3	16
!	O	1	16
!	O	1	16
!	O	1	16
!	O	1	16
Please	O	6	16
,	O	1	16
please	O	6	16
,	O	1	16
please	O	6	16
throw	O	5	16
...	O	3	16
http	O	4	16
:	O	1	16
//t.co/KrYKsBH2ia	O	17	16
@	O	1	17
NewfiePete77	O	12	17
Watch	O	5	17
the	O	3	17
Tylenol	B-	7	17
ingestion	O	9	17
with	O	4	17
the	O	3	17
day/night	O	9	17
pills	O	5	17
and	O	3	17
acetaminophen	O	13	17
together	O	8	17
!	O	1	17
#	O	1	17
nerdalert	O	9	17
@	O	1	18
NewfiePete77	O	12	18
Watch	O	5	18
the	O	3	18
Tylenol	O	7	18
ingestion	O	9	18
with	O	4	18
the	O	3	18
day/night	O	9	18
pills	O	5	18
and	O	3	18
acetaminophen	B-	13	18
together	O	8	18
!	O	1	18
#	O	1	18
nerdalert	O	9	18
Yoooo	O	5	19
,	O	1	19
can	O	3	19
somebody	O	8	19
drop	O	4	19
me	O	2	19
off	O	3	19
a	O	1	19
Benadryl	B-	8	19
?	O	1	19
Take	O	4	20
advantage	O	9	20
of	O	2	20
the	O	3	20
NEW	O	3	20
@	O	1	20
VPX_Sports	O	10	20
Redline	O	7	20
White	B-	5	20
Heat	I-	4	20
Preworkout	I-	10	20
Promo	O	5	20
!	O	1	20
http	O	4	20
:	O	1	20
//t.co/qd65435j3B	O	17	20
#	O	1	20
vpx	O	3	20
#	O	1	20
preworkout	O	10	20
#	O	1	20
fitness	O	7	20
#	O	1	20
whiteheat	O	9	20
I	O	1	21
did	O	3	21
my	O	2	21
first	O	5	21
injection	O	9	21
of	O	2	21
Lupron	B-	6	21
today	O	5	21
:	O	1	21
D	O	1	21
Feeling	O	7	21
sooo	O	4	21
proud	O	5	21
of	O	2	21
myself	O	6	21
for	O	3	21
being	O	5	21
able	O	4	21
to	O	2	21
do	O	2	21
it	O	2	21
on	O	2	21
my	O	2	21
own	O	3	21
!	O	1	21
!	O	1	21
!	O	1	21
I	O	1	21
...	O	3	21
http	O	4	21
:	O	1	21
//t.co/7YRBQ5bYNe	O	17	21
Woke	O	4	22
up	O	2	22
abruptly	O	8	22
and	O	3	22
panicking	O	9	22
because	O	7	22
I	O	1	22
heard	O	5	22
beeping	O	7	22
.	O	1	22
I	O	1	22
thought	O	7	22
it	O	2	22
was	O	3	22
an	O	2	22
alarm	O	5	22
.	O	1	22
It	O	2	22
was	O	3	22
just	O	4	22
time	O	4	22
for	O	3	22
a	O	1	22
syringe	O	7	22
change	O	6	22
..	O	2	22
hah	O	3	22
!	O	1	22
#	O	1	22
zofran	B-	6	22
pump	O	4	22
Prenatals	B-	9	23
are	O	3	23
doing	O	5	23
magic	O	5	23
to	O	2	23
my	O	2	23
hair	O	4	23
😍😍	O	2	23
I	O	1	24
was	O	3	24
definitely	O	10	24
a	O	1	24
lot	O	3	24
faster	O	6	24
prepping	O	8	24
my	O	2	24
Menopur	B-	7	24
.	O	1	24
.	O	1	24
.	O	1	24
much	O	4	24
smoother	O	8	24
today	O	5	24
,	O	1	24
but	O	3	24
my	O	2	24
poor	O	4	24
belly	O	5	24
is	O	2	24
starting	O	8	24
to	O	2	24
look	O	4	24
...	O	3	24
http	O	4	24
:	O	1	24
//t.co/hVXAz9NVVv	O	17	24
@	O	1	25
sunnygirl48176	O	14	25
That	O	4	25
's	O	2	25
fantastic	O	9	25
!	O	1	25
Did	O	3	25
you	O	3	25
take	O	4	25
aspirin	B-	7	25
,	O	1	25
shots	O	5	25
,	O	1	25
or	O	2	25
nothing	O	7	25
during	O	6	25
pregnancy	O	9	25
?	O	1	25
Y'all	O	5	26
...	O	3	26
18	O	2	26
mg	O	2	26
a	O	1	26
day	O	3	26
is	O	2	26
not	O	3	26
enough	O	6	26
to	O	2	26
get	O	3	26
through	O	7	26
the	O	3	26
week	O	4	26
